IL ID,R^2 Accuracy
349,0.5090660231705867
356,0.5080543356979673
1358,0.5078512675596577
695,0.5072832262802193
1704,0.5065103764278315
1020,0.5041128379462125
350,0.5041039778111787
1164,0.5023927654074758
1309,0.4989553739070527
359,0.4989244292807987
914,0.49867798089797066
1021,0.49821211470404425
579,0.4970295979942426
693,0.4960435018294511
1185,0.49424426816520506
1703,0.49202005901969526
555,0.4917975953832261
947,0.49007735014851483
682,0.48614043807893237
355,0.4855836491646891
1721,0.4852782529315205
1561,0.4815367048951038
284,0.47741144998309315
526,0.4773666392048661
239,0.47528103044642633
1119,0.47354810881404663
261,0.47236339674858485
289,0.4693211825264715
