IL ID,Cation,Anion,a,b,R^2
1572,"pip-a,1",ntf2,-0.7367865752567839,0.0032909195548400973,0.9987558769211557
1035,"n-2oh,1,1,1",so4-1,-0.7546190294014741,0.0029568162296901134,0.9987539071115795
1630,"py-2,cn[3]",so4-2,-0.8758264822891624,0.0031724136014853904,0.9987493708493801
451,"im-2ph,1",alcl4,-1.052515591145639,0.004174168596779975,0.9987405479953518
1636,py-2,ntf2,-0.7560062042162121,0.0036394856019443343,0.9987392636970013
1715,"py-8,1[3]",bf4,-0.8539557704525638,0.003387953034775746,0.9987380129639323
1668,"py-4,1[3]",tcb,-0.9621175035320175,0.004323750506272959,0.9987234763756693
476,"im-3,1",scn,-0.6892199537958462,0.003481049685320203,0.9987216835975181
572,"im-4,1",h2po4,-0.8378150679582503,0.0035934725599798103,0.9987100555625551
1297,"p-14,4,4,4",bscb,-0.8575606137830853,0.0033387137526156444,0.9987051987191247
853,"mo-a,1",ntf2,-0.8860897820028057,0.0035634683365879387,0.998692099453463
1717,"py-8,1[4]",alcl4,-0.7519443708728962,0.003360042090212288,0.9986875939158787
1729,py-[2o]31,cl,-0.8365259193831303,0.0029722103944395855,0.9986774879869545
768,"im-[2o]21,1",so3-1,-0.9925680901437008,0.0038911535952277634,0.9986745191313382
294,"im-2,1",so4-2,-0.8003863414374862,0.003535793214815103,0.9986659856815462
1571,"pip-[2o]21,[2o]21",ntf2,-0.9028391242723024,0.0038029595263529906,0.9986652791259278
1802,"pyr-4,1",ntfso2f,-0.4054174300659083,0.002122591022572854,0.9986626925612907
262,"im-2,1",fap,-0.7047162088715847,0.003358852584383414,0.9986572405282046
1878,"pz-4,1,1[3],1[5]",ntf2,-0.884378739452838,0.0038874880350216142,0.998656048147901
1897,"s-1,1,1",dca,-0.5618251731337514,0.003160419005985712,0.9986552175414577
834,"mo-3,1",dca,-0.8453660624089173,0.003420155585178926,0.9986429971993701
719,"im-8,1",asn,-0.9595026135810004,0.0034159593865751314,0.9986296925223873
826,mo-2,for,-0.8154059519838361,0.004110226114973111,0.998625444330637
1786,"pyr-3cn,1",scn,-0.8696319430747821,0.003425269428831452,0.9986191602999258
251,"im-2,1",bf3cn,-0.4603209976543787,0.00310180584049678,0.9985850714581108
463,"im-3,1",alcl4,-0.6333844377389486,0.0035246513148281334,0.9985780711746617
1036,"n-2oh,1,1,1",vitaminC,-1.4265158899670611,0.005153153593766442,0.9985720887370372
1727,py-[2o]21,cl,-0.8604881794781093,0.0030412313866673745,0.9985707703671255
854,"mo-a,2",ntf2,-0.8367029238442901,0.003377441165143159,0.998565935693903
469,"im-3,1",h2po4,-1.0955649438374362,0.004643721111783769,0.9985628120277328
238,"im-2,1",bf2cn2,-0.4313539658650296,0.00313733717234485,0.9985361345141205
1120,"n-4,1,1,1",ntf2,-0.8397075247049718,0.003647684180524761,0.9985352120712722
195,"im-1ph,1",ntf2,-0.9788134007901983,0.004050257381869409,0.9985182585734808
674,"im-6,1",fap,-0.8824847226170746,0.0038346935441023458,0.9985138050539926
1411,"p-3nh2,4,4,4",val,-0.8952722651406534,0.0034237953372372805,0.9985100683951996
1040,"n-2oh,1",3ac,-0.9374866999070153,0.0037957902403127092,0.9985066461772703
1139,"n-4,4,4,4",bes,-0.6083881565851054,0.0021240647785129717,0.9985052901656916
619,"im-4,4",alcl4,-0.7367719265500415,0.003589307906880764,0.9984994980904753
1428,"p-4,4,4,1",so4-12,-0.7622793987264618,0.0029016502220315416,0.9984987055121484
577,"im-4,1",imidazolide,-1.0134056017874922,0.003966010459554096,0.9984918511110438
645,"im-5,1",h2po4,-0.7622331269708733,0.0032331231344310592,0.9984693077045862
1854,pyrro-1,1ac,-0.5186849754952239,0.004213372605747778,0.9984652306584975
1053,"n-2oh,2oh,2oh",ac,-1.1961008718463064,0.004293174230623237,0.9984467090493767
113,"im-1,1",so4-1,-0.8145975751312113,0.003660096740112331,0.9984409942023704
1029,"n-2oh,1,1,1",mal,-0.6366127655304906,0.002360160791466041,0.9984306457979467
337,"im-2cl,1",dca,-0.8687802146178081,0.003724734485467861,0.998402096407722
1496,"p-8,8,8,5",cl,-0.8134896905272799,0.0030624473071260757,0.9983982014974823
636,"im-4so3h,1",camphorsulfonate,-1.0948990357358532,0.004233139547873057,0.9983943060761739
1879,"pz-4,1",dca,-0.8186087063960729,0.003981402712763992,0.998371757808293
1831,pyr,ac,-0.7097361774161697,0.003713647733222417,0.9983708810296079
1498,"p-8,8,8,7",cl,-0.7896275579244524,0.002992092930316507,0.9983672060916017
1058,"n-2oh,2oh",3ac,-0.7717996957446343,0.0030433986712186324,0.998356736823029
682,"im-6,1",ntf2,-0.8178450481918244,0.0036816512989995,0.9983541188723228
506,"im-3oh,1",cl,-0.8080092545455902,0.003028731234340235,0.9983369128757721
1041,"n-2oh,1",ac,-1.2450941078073954,0.004998645425459856,0.9983199869284202
1644,"py-3,1[3]",ntf2,-0.8285235305016868,0.003793450775644905,0.9983193539564783
370,im-2cn,so3-ph1,-0.9185952762326117,0.0031492350651096284,0.9983178326235371
1000,"n-2o2,2o1,1,1",ac,-1.158740347732184,0.00427956566936208,0.9983068406616843
155,"im-1coo2,1",ntf2,-0.9636475087685991,0.004056471506688003,0.9982676160920532
1607,"py-1ph,1[3]",ntf2,-1.0920321811258986,0.004429379396882771,0.9982574801874715
308,"im-2,1",tfa,-0.7259260193127736,0.0036271993228580474,0.9982561071966799
1773,"pyr-2oh,1",ntf2,-0.8077641184667217,0.003606224158206683,0.9982536268002936
1026,"n-2oh,1,1,1",gly,-2.5465705533387815,0.009154865180871937,0.9982407922348788
1586,py-10,ntf2,-0.8589451782730319,0.0036215561032177457,0.998239532822695
1074,n-2oh,3ac,-0.6849216543745401,0.0026902053650136545,0.9982271763106829
1529,"pip-2o1,1",ntf2,-0.8365844885289981,0.003645626741483685,0.9982195287044161
1743,pyr-1,for,-0.16726397046917968,0.0013837570853462064,0.9982138635327971
1783,"pyr-3,1",ntfso2f,-0.3975223298465128,0.002193370153055563,0.9982137471198049
111,"im-1,1",ntf2,-0.686899335612551,0.0034344421699193687,0.9982106967725166
1461,"p-6,4,4,4",cl,-1.0019941382977464,0.003526350183069597,0.9981992967766229
569,"im-4,1",glu,-1.073641270473042,0.004487841265272959,0.9981971180085996
1037,"n-2oh,1",1ac,-1.0420301526966673,0.004161364645655234,0.9981902282857438
870,"n-12,2,2,2",ntf2,-0.9014763007024706,0.0036173460243289594,0.9981821704681109
1778,"pyr-3,1",fsa,-0.5348392738828318,0.0029031557983576653,0.9981357154385414
734,"im-8,1",phen,-0.963913484470596,0.003908182405182699,0.9981259494841302
1663,"py-4,1[3]",ccn3,-0.8485915205046349,0.00395572679125619,0.9981022473856689
328,im-2,ac,-0.7201679740320798,0.0045002157749528034,0.9981021425132883
671,"im-6,1",br,-0.7262552338304178,0.002719785921881331,0.9980718284832849
1639,py-2,so4-2,-0.9235980377733155,0.0038725772483622863,0.9980449576788941
1766,"pyr-2o1,1",ntfso2f,-0.434193435068803,0.002357137841480416,0.9980312288156675
601,"im-4,1",so4-8,-0.7906443030097658,0.0031227620470692654,0.9980247915750345
1020,"n-2oh,1,1,1",ala,-2.5600731561419727,0.009050157372734366,0.998024318723185
1858,pyrro-1,ac,-0.48667316015967793,0.004156885230612936,0.9980231263147983
1038,"n-2oh,1",2ac,-0.9842244100349617,0.0039054951996902055,0.9980140787771783
557,"im-4,1",ccn3,-0.8587028594887313,0.004119686232003971,0.9980086129146379
821,mo-1,for,-0.6783742516890976,0.003824397226602315,0.9979745073220482
131,"im-10,1",ntf2,-0.8454472357706969,0.0036418397300091417,0.9979507171767303
1360,"p-14,6,6,6",so3-1,-0.7697213293048668,0.002965737353842572,0.9979342399400083
1657,py-3oh,ntf2,-0.83554906306647,0.003602634303308831,0.9979234399454484
265,"im-2,1",fsa,-0.5239544740462966,0.003149601322337715,0.9979217643002911
1551,"pip-4,1",dca,-0.8377195905257524,0.003618027794763477,0.9979019827496481
156,"im-1coo2,1",scn,-0.9435075014141844,0.003443268575443568,0.9978925468301014
278,"im-2,1",otf,-0.6738007577769737,0.003345242935891574,0.9978751616809409
255,"im-2,1",bfcn3,-0.5704156485261574,0.003553230159707315,0.9978206072615539
1088,"n-3,1,1,1",ntf2,-0.684907490492884,0.003238400945884628,0.997810784283211
231,"im-2,1",alcl4,-0.4839657229213099,0.003040956039569056,0.9977909453473489
1292,"p-12,4,4,4","so3-ph-coo1[3],coo1[5]",-0.6756254458430829,0.00241943926777377,0.9977714010820918
1762,"pyr-2o1,1",fsa,-0.5969298209818314,0.003195425541898043,0.9977504302603913
625,im-4,otf,-0.8392966678644269,0.003613104015558756,0.9977174152798074
1030,"n-2oh,1,1,1",mopso,-0.5317862589664968,0.001841061095104392,0.9977132883571993
390,"im-2o1,1",ntf2,-0.8890757978943388,0.004076620531376026,0.99769375028619
1066,"n-2oh,3,1,1",ntf2,-0.7832366128050088,0.003428793401907401,0.997664934462733
1176,"n-6,2,2,2",ntf2,-0.8907819074067719,0.003694276328653664,0.997655905429034
692,"im-6,1",tcb,-0.9969823381429893,0.00439306208764379,0.9976526480371317
192,"im-1ph,1",alcl4,-0.5230309653076346,0.002669194189023383,0.9976466150220674
339,"im-2cn,10",br,-0.6036298902212147,0.0020900625136208266,0.9976391321041864
580,"im-4,1",npf2,-0.8844105111201523,0.0037833092456197076,0.9976355141257671
1144,"n-4,4,4,4",mopso,-0.6810218341277829,0.002336260838338152,0.9976249464755096
646,"im-5,1",hco3,-1.0548858954974274,0.004356942129999421,0.9976128113151554
1860,pyrro-1,for,-0.35602524128474394,0.0038483721726881148,0.9975813530330653
780,"im-a,1",ntf2,-0.7202483672142485,0.003593962929481615,0.9975743928906055
573,"im-4,1",hco3,-1.1410815619078662,0.004746940341249226,0.9975462736693591
1157,n-4,hso4,-0.6402366421454903,0.0024869460075786446,0.9974717046690786
650,"im-5,1",ntf2,-0.7945484303221753,0.0036491296219116265,0.9974650828030479
