IL ID,Cation,Anion,a,b,R^2
410,"im-2o1,4,2",ntf2,-1.0357640069191798,0.004326499299279212,0.9998346145082491
411,"im-2o1,4",ntf2,-0.9548379887082883,0.004248635952788413,0.9988554202473732
414,"im-2o2,1,1",ntf2,-0.883253489294961,0.003940145054562673,0.9988931287247242
415,"im-2o2,1,1o2",ntf2,-0.9892492452801641,0.004296571149512914,0.9987840846074564
416,"im-2o2,1,1o3",ntf2,-1.0552911046016693,0.0044735395208778655,0.9999746090087674
418,"im-2o2,1",cl,-0.8325946511276434,0.0031830289234840163,0.9985100339997282
419,"im-2o2,1",ntf2,-0.8764549144756312,0.004100666908536743,0.999676939411028
420,"im-2o2,1o1,1",ntf2,-0.964389954705376,0.004162871159462307,0.9994298170874396
421,"im-2o2,1o1,2",ntf2,-1.0286575685556634,0.004324271323966584,0.9994931518593098
422,"im-2o2,1o1",ntf2,-0.9875042874695928,0.0043465572620592155,0.9994499649950523
423,"im-2o2,1o2",ntf2,-1.0007163287423875,0.004414349668413271,0.9994473162814154
425,"im-2o2,2,1o2",ntf2,-1.0093624303155109,0.004398572541065356,0.999156858328415
426,"im-2o2,2,1o3",ntf2,-0.9947894650440606,0.004296534688303886,0.9996308592396238
428,"im-2o2,2",ntf2,-0.8274447178605829,0.003983880404807348,0.9987694132406089
429,"im-2o2,2o1,1",ntf2,-0.9666408728501612,0.004142650025059868,0.9923204049343818
430,"im-2o2,2o1,2",ntf2,-0.9942883830350782,0.004235462191220203,0.9992813397572513
431,"im-2o2,2o1",ntf2,-0.9411148615998999,0.004237124904050683,0.9987404870817201
434,"im-2o2,2o2",ntf2,-0.8826403106969928,0.004072473614050137,0.9991879854230005
437,"im-2o2,3",ntf2,-0.9701632298932694,0.004339721099404899,0.99972500916567
440,"im-2o2,4",ntf2,-0.9567119767955319,0.004257114021467977,0.9996076381668655
443,"im-2o2oh,1",cl,-0.8040110285921162,0.0030233501466158694,0.9969778883464713
444,"im-2oh,1",bf4,-0.866029714998337,0.00363596403448454,0.5166076041298252
445,"im-2oh,1",dca,-0.9378126094325587,0.004085337659859425,0.9788973891495969
446,"im-2oh,1",fap,-0.9970827294400305,0.004032302470277999,0.9992621219035127
447,"im-2oh,1",imidazolide,-0.8436555507365815,0.002977762789857193,0.990749481345506
448,"im-2oh,1",ntf2,-0.8734955065922941,0.003814178269834562,0.9865350789724726
449,"im-2oh,1",pf6,-0.9685677538865227,0.004069026220553596,0.9989617195097032
451,"im-2ph,1",alcl4,-1.0770698223111612,0.0042515778419516745,0.996850354062738
453,"im-2v,1,1",pyrazolide-no2[4],-1.0567229951513484,0.004044428940560121,0.9995740366021652
454,"im-3,1,1",bf4,-0.8721628838402818,0.003496224079308495,0.9984504326715395
455,"im-3,1,1",ctf3,-0.844359610236029,0.003310220909687423,0.9994122573929709
456,"im-3,1,1",hso4,-1.1311954026701445,0.004421776094351159,0.9904000254798241
457,"im-3,1,1",ntf2,-0.6128119504024044,0.0028493112223759135,0.7934340720116093
458,"im-3,1,1",pyrazolide-no2[4],-1.0867731942637706,0.004119677664269508,0.999135007000038
459,"im-3,1,1o2",ntf2,-1.0048914805820395,0.0043060347655847295,0.9998852494426973
460,"im-3,1,1o3",ntf2,-0.9698363894898538,0.004166286560177077,0.9994724365615391
463,"im-3,1",alcl4,-0.6327873332810877,0.0035183493914158802,0.9973393457259093
468,"im-3,1",bf4,-0.9008960425910001,0.00393526782826184,0.9873973328604008
469,"im-3,1",h2po4,-1.086578090555828,0.0046167268829486584,0.9967415521680885
470,"im-3,1",hco3,-1.313939466975576,0.0054955326782041205,0.998896868567048
471,"im-3,1",i,-0.8459835919382855,0.0032666962740897035,0.9934450235061607
474,"im-3,1",ntf2,-0.8246814018205079,0.0038468696657041183,0.9657948839730385
475,"im-3,1",pf6,-0.8550481219554689,0.003519105064896807,0.9998592401774735
