"ID","Label"
"307","im-2,1 + tfa-3[f]"
"308","im-2,1 + tfa"
"309","im-2,1 + tfes"
"310","im-2,1 + tfesi"
"311","im-2,1 + triazolide"
"312","im-2,1 + tsac"
"313","im-2,1 + wf7"
"314","im-2,1 + wof5"
"315","im-2,1o2,1 + ntf2"
"316","im-2,2,1[5] + ntf2"
"317","im-2,2,1 + ntf2"
"318","im-2,2,1o2 + ntf2"
"319","im-2,2,1o3 + ntf2"
"320","im-2,2 + ntf2"
"321","im-2,2 + otf"
"322","im-2,2 + po2-o2,o2"
"323","im-2,2 + so3-ph1"
"324","im-2,2 + tfa"
"325","im-2D,1D + fap"
"326","im-2D,1D + so4-1D"
"327","im-2D,1 + fap"
"328","im-2 + ac"
"329","im-2 + bf4"
"330","im-2 + clo4"
"331","im-2 + npf2"
"332","im-2 + ntf2"
"333","im-2 + otf"
"334","im-2 + pf6"
"335","im-2 + so3-1"
"336","im-2ch,1 + ntf2"
"337","im-2cl,1 + dca"
"338","im-2cn,10 + behss"
"339","im-2cn,10 + br"
"340","im-2cn,10 + sba"
"341","im-2cn,10 + so4-12"
"342","im-2cn,1 + bf4"
"343","im-2cn,1ph + cl"
"344","im-2cn,2o2 + dca"
"345","im-2cn,2o2 + ntf2"
"346","im-2cn,2o2 + tfa"
"347","im-2cn,2oh + cl"
"348","im-2cn,4 + behss"
"349","im-2cn,4 + br"
"350","im-2cn,4 + bs"
"351","im-2cn,4 + cl"
"352","im-2cn,4 + otf"
"353","im-2cn,4 + so4-12"
"354","im-2cn,6 + behss"
"355","im-2cn,6 + br"
"356","im-2cn,6 + bs"
"357","im-2cn,6 + cl"
"358","im-2cn,6 + otf"
"359","im-2cn,6 + sba"
"360","im-2cn,6 + so4-12"
"361","im-2cn,8 + br"
"362","im-2cn,8 + cl"
"363","im-2cn,a + cl"
"364","im-2cn + 1ac"
"365","im-2cn + 2ac"
"366","im-2cn + 4ac"
"367","im-2cn + ac"
"368","im-2cn + for"
"369","im-2cn + hso4"
"370","im-2cn + so3-ph1"
"371","im-2cp,1 + ntf2"
"372","im-2dp,4 + bf4"
"373","im-2dp,4 + pf6"
"374","im-2dp,6 + bf4"
"375","im-2dp,6 + pf6"
"376","im-2dp,8 + bf4"
"377","im-2dp,8 + pf6"
"378","im-2nh2,1 + bf4"
"379","im-2nh2,1 + dca"
"380","im-2nh2,1 + ntf2"
"381","im-2nh2,1 + otf"
"382","im-2nh2,1 + pf6"
"383","im-2o1,1,1 + ntf2"
"384","im-2o1,1,1o2 + ntf2"
"385","im-2o1,1,1o3 + ntf2"
"386","im-2o1,1,2 + ntf2"
"387","im-2o1,1 + bf3-1[f]"
"388","im-2o1,1 + bf3-2[f]"
"389","im-2o1,1 + bf4"
"390","im-2o1,1 + ntf2"
"391","im-2o1,1 + otf"
"392","im-2o1,1 + pf6"
"393","im-2o1,1 + po2-o1,o1"
"394","im-2o1,1 + so3-1"
"395","im-2o1,1o1,1 + ntf2"
"396","im-2o1,1o1,2 + ntf2"
"397","im-2o1,1o1 + ntf2"
"398","im-2o1,1o2 + ntf2"
"399","im-2o1,2,1 + ntf2"
"400","im-2o1,2,1o2 + ntf2"
"401","im-2o1,2,1o3 + ntf2"
"402","im-2o1,2,2 + ntf2"
"403","im-2o1,2 + ntf2"
"404","im-2o1,2o1,2 + ntf2"
"405","im-2o1,2o1 + ntf2"
"406","im-2o1,3,1 + ntf2"
"407","im-2o1,3,2 + ntf2"
"408","im-2o1,3 + ntf2"
"409","im-2o1,4,1 + ntf2"
"410","im-2o1,4,2 + ntf2"
"411","im-2o1,4 + ntf2"
"412","im-2o1,5,1 + ntf2"
"413","im-2o1,5,2 + ntf2"
"414","im-2o2,1,1 + ntf2"
"415","im-2o2,1,1o2 + ntf2"
"416","im-2o2,1,1o3 + ntf2"
"417","im-2o2,1,2 + ntf2"
"418","im-2o2,1 + cl"
"419","im-2o2,1 + ntf2"
"420","im-2o2,1o1,1 + ntf2"
"421","im-2o2,1o1,2 + ntf2"
"422","im-2o2,1o1 + ntf2"
"423","im-2o2,1o2 + ntf2"
"424","im-2o2,2,1 + ntf2"
"425","im-2o2,2,1o2 + ntf2"
"426","im-2o2,2,1o3 + ntf2"
"427","im-2o2,2,2 + ntf2"
"428","im-2o2,2 + ntf2"
"429","im-2o2,2o1,1 + ntf2"
"430","im-2o2,2o1,2 + ntf2"
"431","im-2o2,2o1 + ntf2"
"432","im-2o2,2o2,1 + ntf2"
"433","im-2o2,2o2,2 + ntf2"
"434","im-2o2,2o2 + ntf2"
"435","im-2o2,3,1 + ntf2"
"436","im-2o2,3,2 + ntf2"
"437","im-2o2,3 + ntf2"
"438","im-2o2,4,1 + ntf2"
"439","im-2o2,4,2 + ntf2"
"440","im-2o2,4 + ntf2"
"441","im-2o2,5,1 + ntf2"
"442","im-2o2,5,2 + ntf2"
"443","im-2o2oh,1 + cl"
"444","im-2oh,1 + bf4"
"445","im-2oh,1 + dca"
"446","im-2oh,1 + fap"
"447","im-2oh,1 + imidazolide"
"448","im-2oh,1 + ntf2"
"449","im-2oh,1 + pf6"
"450","im-2ono2,1 + dca"
"451","im-2ph,1 + alcl4"
"452","im-2ph,1 + ntf2"
"453","im-2v,1,1 + pyrazolide-no2[4]"
"454","im-3,1,1 + bf4"
"455","im-3,1,1 + ctf3"
"456","im-3,1,1 + hso4"
"457","im-3,1,1 + ntf2"
"458","im-3,1,1 + pyrazolide-no2[4]"
"459","im-3,1,1o2 + ntf2"
"460","im-3,1,1o3 + ntf2"
"461","im-3,1,1o4 + ntf2"
"462","im-3,1,cn + ntf2"
"463","im-3,1 + alcl4"
"464","im-3,1 + bf3-1[f]"
"465","im-3,1 + bf3-2[f]"
"466","im-3,1 + bf3-3[f]"
"467","im-3,1 + bf3-4[f]"
"468","im-3,1 + bf4"
"469","im-3,1 + h2po4"
"470","im-3,1 + hco3"
"471","im-3,1 + i"
"472","im-3,1 + no3"
"473","im-3,1 + npf2"
"474","im-3,1 + ntf2"
"475","im-3,1 + pf6"
"476","im-3,1 + scn"
"477","im-3,2,1o2 + ntf2"
"478","im-3,2,1o3 + ntf2"
"479","im-3,2 + ntf2"
"480","im-3,3 + ntf2"
"481","im-3ch,1 + ntf2"
"482","im-3cn,1,1 + dca"
"483","im-3cn,1,1 + ntf2"
"484","im-3cn,1 + bf3-3icn"
"485","im-3cn,1 + bf4"
"486","im-3cn,1 + dca"
"487","im-3cn,1 + ntf2"
"488","im-3cn,3cn + bf3-3icn"
"489","im-3cooh,1 + bf3-3icn"
"490","im-3dp,4 + bf4"
"491","im-3dp,4 + pf6"
"492","im-3dp,6 + bf4"
"493","im-3dp,6 + pf6"
"494","im-3dp,8 + bf4"
"495","im-3dp,8 + pf6"
"496","im-3i,1 + ntf2"
"497","im-3nh1phen,4 + ntf2"
"498","im-3nh1phen,4 + pf6"
"499","im-3nh2,1 + imidazolide"
"500","im-3o1,1 + bf4"
"501","im-3o1,1 + pf6"
"502","im-3o1,2o1,1 + ntf2"
"503","im-3o1,2o1,2 + ntf2"
"504","im-3o1,2o2,1 + ntf2"
"505","im-3o1,2o2,2 + ntf2"
"506","im-3oh,1 + cl"
"507","im-3oh,2 + cl"
"508","im-3oh[2],1 + cl"
"509","im-3oh[2],1 + no3"
"510","im-3oh[2],1 + ntf2"
"511","im-3oh[2],1 + pf6"
"512","im-3ph,1 + ntf2"
"513","im-3so3h,1[2] + camphorsulfonate"
"514","im-3so3h,1 + camphorsulfonate"
"515","im-3so3h,2[2] + camphorsulfonate"
"516","im-3so3h,2 + camphorsulfonate"
"517","im-3so3h,4 + camphorsulfonate"
"518","im-3so3h,ph[2] + camphorsulfonate"
"519","im-3so3h + camphorsulfonate"
"520","im-4,1,1 + al(ohfip)4"
"521","im-4,1,1 + bf4"
"522","im-4,1,1 + dca"
"523","im-4,1,1 + fap"
"524","im-4,1,1 + h2po4"
"525","im-4,1,1 + hso4"
"526","im-4,1,1 + ntf2"
"527","im-4,1,1 + scn"
"528","im-4,1,1 + so4-1,3[f],chf2"
"529","im-4,1,1 + so4-3,2[f]"
"530","im-4,1,1 + tcb"
"531","im-4,1,1o2 + ntf2"
"532","im-4,1,1o3 + ntf2"
"533","im-4,1 + 1ac"
"534","im-4,1 + 2ac"
"535","im-4,1 + ac"
"536","im-4,1 + al(ohfip)4"
"537","im-4,1 + ala"
"538","im-4,1 + alcl4"
"539","im-4,1 + behss"
"540","im-4,1 + bf2ox"
"541","im-4,1 + bf3-1[f]"
"542","im-4,1 + bf3-2[f]"
"543","im-4,1 + bf3-3icn"
"544","im-4,1 + bf3-ph-1[f][3]"
"545","im-4,1 + bf3-ph-1[f][4]"
"546","im-4,1 + bf3-ph-cn[3]"
"547","im-4,1 + bf3-ph-cn[4]"
"548","im-4,1 + bf3-ph-f[2]"
"549","im-4,1 + bf3-ph-f[3]"
"550","im-4,1 + bf3-ph-f[4]"
"551","im-4,1 + bf3-ph-o1[2]"
"552","im-4,1 + bf3-ph-o1[3]"
"553","im-4,1 + bf3-ph-o1[4]"
"554","im-4,1 + bf3-ph"
"555","im-4,1 + bf4"
"556","im-4,1 + br"
"557","im-4,1 + ccn3"
"558","im-4,1 + cl"
"559","im-4,1 + clo4"
"560","im-4,1 + coscn4"
"561","im-4,1 + ctf3"
"562","im-4,1 + dca"
"563","im-4,1 + fap"
"564","im-4,1 + 43500"
"565","im-4,1 + fecl4"
"566","im-4,1 + for"
"567","im-4,1 + fpi"
"568","im-4,1 + fsa"
"569","im-4,1 + glu"
"570","im-4,1 + gly"
"571","im-4,1 + glyc"
"572","im-4,1 + h2po4"
"573","im-4,1 + hco3"
"574","im-4,1 + hfps"
"575","im-4,1 + hso4"
"576","im-4,1 + i"
"577","im-4,1 + imidazolide"
"578","im-4,1 + la"
"579","im-4,1 + no3"
"580","im-4,1 + npf2"
"581","im-4,1 + ntf2"
"582","im-4,1 + otf"
"583","im-4,1 + pf6"
"584","im-4,1 + ph-coo"
"585","im-4,1 + phen"
"586","im-4,1 + po2-cf3,cf3"
"587","im-4,1 + po2-o1,o1"
"588","im-4,1 + po2-o4,o4"
"589","im-4,1 + po3h-1"
"590","im-4,1 + po4"
"591","im-4,1 + sbf6"
"592","im-4,1 + scn"
"593","im-4,1 + so3-1"
"594","im-4,1 + so3-4[f]"
"595","im-4,1 + so4-1,3[f],chf2"
"596","im-4,1 + so4-1"
"597","im-4,1 + so4-2"
"598","im-4,1 + so4-3,2[f]"
"599","im-4,1 + so4-4"
"600","im-4,1 + so4-5"
"601","im-4,1 + so4-8"
"602","im-4,1 + tcb"
"603","im-4,1 + tdi"
"604","im-4,1 + tehss"
"605","im-4,1 + tfa-2[f]"
"606","im-4,1 + tfa"
"607","im-4,1 + tpes"
"608","im-4,1 + ttes"
"609","im-4,2,1o2 + ntf2"
"610","im-4,2,1o3 + ntf2"
"611","im-4,2 + br"
"612","im-4,2 + ntf2"
"613","im-4,2 + otf"
"614","im-4,2 + po2-o2,o2"
"615","im-4,2 + po2-o4,o4"
"616","im-4,2 + so3-4[f]"
"617","im-4,2 + tfa"
"618","im-4,4 + ac"
"619","im-4,4 + alcl4"
"620","im-4,4 + ntf2"
"621","im-4,4 + po2-o4,o4"
"622","im-4,4 + so3-ph1"
"623","im-4 + hso4"
"624","im-4 + no3"
"625","im-4 + otf"
"626","im-4 + scn"
"627","im-4 + so3-1"
"628","im-4cn,1 + bf4"
"629","im-4cn,1 + cl"
"630","im-4cn,1 + pf6"
"631","im-4i,1 + i"
"632","im-4i,1 + ntf2"
"633","im-4i,4i + ntf2"
"634","im-4so31 + so4-1"
"635","im-4so32 + so4-2"
"636","im-4so3h,1 + camphorsulfonate"
"637","im-4so3h,1 + hso4"
"638","im-4so3h,1 + otf"
"639","im-5,1,1 + hso4"
"640","im-5,1,1 + ntf2"
"641","im-5,1,1o2 + ntf2"
"642","im-5,1,1o3 + ntf2"
"643","im-5,1 + bf4"
"644","im-5,1 + fap4"
"645","im-5,1 + h2po4"
"646","im-5,1 + hco3"
"647","im-5,1 + nicl4"
"648","im-5,1 + no3"
"649","im-5,1 + npf2"
"650","im-5,1 + ntf2"
"651","im-5,1 + pf6"
"652","im-5,1 + scn"
"653","im-5,2,1o2 + ntf2"
"654","im-5,2,1o3 + ntf2"
"655","im-5,4 + ntf2"
"656","im-5,5 + ntf2"
"657","im-5i,1 + i"
"658","im-5i,1 + ntf2"
"659","im-5i,4 + ntf2"
"660","im-6,1,1 + ntf2"
"661","im-6,1,1 + pyrazolide-no2[4]"
"662","im-6,1,s1 + ntf2"
"663","im-6,1 + ac"
"664","im-6,1 + al(ohfip)4"
"665","im-6,1 + al2br7"
"666","im-6,1 + albr4"
"667","im-6,1 + alcl4"
"668","im-6,1 + bf3-1[f]"
"669","im-6,1 + bf3-2[f]"
"670","im-6,1 + bf4"
"671","im-6,1 + br"
"672","im-6,1 + cl"
"673","im-6,1 + dca"
"674","im-6,1 + fap"
"675","im-6,1 + fap3"
"676","im-6,1 + 43500"
"677","im-6,1 + fecl4"
"678","im-6,1 + fpi"
"679","im-6,1 + i"
"680","im-6,1 + no3"
"681","im-6,1 + npf2"
"682","im-6,1 + ntf2"
"683","im-6,1 + otf"
"684","im-6,1 + pf6"
"685","im-6,1 + phen"
"686","im-6,1 + po2-o1,o1"
"687","im-6,1 + pyrazolide-no2[4]"
"688","im-6,1 + pyrrolide-cn[2]"
"689","im-6,1 + so3-4[f]"
"690","im-6,1 + so4-1"
"691","im-6,1 + so4-2"
"692","im-6,1 + tcb"
"693","im-6,1 + tetrazolide"
"694","im-6,1 + triazolide"
"695","im-6,1 + triazolide123"
"696","im-6,2 + po2-o2,o2"
"697","im-6,4 + po2-o4,o4"
"698","im-6,6 + ac"
"699","im-6,6 + no3"
"700","im-6,6 + ntf2"
"701","im-6,6 + po2-o8i,o8i"
"702","im-6i,1 + ntf2"
"703","im-6oh,1 + cl"
"704","im-6oh,2 + cl"
"705","im-6oh,4 + cl"
"706","im-6oh + cl"
"707","im-7,1,1 + ntf2"
"708","im-7,1 + nicl4"
"709","im-7,1 + ntf2"
"710","im-7,1 + pf6"
"711","im-7,7 + ntf2"
"712","im-7i,1 + ntf2"
"713","im-8,1,1 + h2po4"
"714","im-8,1,1 + ntf2"
"715","im-8,1,1 + otf"
"716","im-8,1 + al(ohfip)4"
"717","im-8,1 + ala"
"718","im-8,1 + alcl4"
"719","im-8,1 + asn"
"720","im-8,1 + bf4"
"721","im-8,1 + cl"
"722","im-8,1 + dca"
"723","im-8,1 + 43500"
"724","im-8,1 + fecl4"
"725","im-8,1 + gly"
"726","im-8,1 + h2po4"
"727","im-8,1 + h3p2o7"
"728","im-8,1 + i"
"729","im-8,1 + nicl4"
"730","im-8,1 + npf2"
"731","im-8,1 + ntf2"
"732","im-8,1 + otf"
"733","im-8,1 + pf6"
"734","im-8,1 + phen"
"735","im-8,1 + po2-o1,o1"
"736","im-8,1 + pro"
"737","im-8,1 + sac"
"738","im-8,1 + scn"
"739","im-8,1 + ser"
"740","im-8,1 + so3-4[f]"
"741","im-8,1 + so4-1"
"742","im-8,1 + so4-2"
"743","im-8,1 + tcb"
"744","im-8,1 + tfa-3[f]"
"745","im-8,1 + tfa"
"746","im-8,2 + po2-o2,o2"
"747","im-8,4 + po2-o4,o4"
