IL ID,Label,Viscosity Group,Temp
256,"im-2,1 + c1c2",L,298.0
257,"im-2,1 + ccn3",L,295.2
258,"im-2,1 + cl",L,353.15
259,"im-2,1 + conco4",L,288.15
260,"im-2,1 + coscn4",H,288.15
261,"im-2,1 + dca",L,298.0
262,"im-2,1 + fap",L,293.15
263,"im-2,1 + fecl4",L,298.2
264,"im-2,1 + fpi",L,293.0
265,"im-2,1 + fsa",L,293.2
266,"im-2,1 + fso3",L,298.0
267,"im-2,1 + gacl4",L,303.2
268,"im-2,1 + gly",L,293.15
269,"im-2,1 + hso4",H,283.15
270,"im-2,1 + im41",L,293.0
271,"im-2,1 + imidazolide",L,313.2
272,"im-2,1 + moof5",L,298.2
273,"im-2,1 + nbf6",L,298.0
274,"im-2,1 + nms2",H,298.2
275,"im-2,1 + npf2",L,293.0
276,"im-2,1 + npfso2f",L,298.0
277,"im-2,1 + ntf2",L,298.15
278,"im-2,1 + otf",L,298.0
279,"im-2,1 + pf6",L,343.1
280,"im-2,1 + ph-coo[1],oh[2]",H,293.15
281,"im-2,1 + phen",L,293.15
282,"im-2,1 + po2-1,o1",H,273.15
283,"im-2,1 + po2-o1,o1",H,293.0
284,"im-2,1 + po2-o2,o2",H,293.0
285,"im-2,1 + pro",H,293.15
286,"im-2,1 + sbf6",L,298.0
287,"im-2,1 + scn",L,298.15
288,"im-2,1 + ser",H,293.15
289,"im-2,1 + so3-1",H,273.15
290,"im-2,1 + so3-2[f]",L,298.0
291,"im-2,1 + so3-4[f]",H,293.15
292,"im-2,1 + so4-1,3[f],chf2",L,298.2
293,"im-2,1 + so4-1",L,298.0
294,"im-2,1 + so4-2",H,278.15
295,"im-2,1 + so4-4",H,283.15
296,"im-2,1 + so4-6",H,268.15
297,"im-2,1 + so4-8",H,273.15
298,"im-2,1 + taf6",L,298.0
299,"im-2,1 + tau",H,293.0
300,"im-2,1 + tca-1",L,298.2
301,"im-2,1 + tca-1cn",H,298.2
302,"im-2,1 + tca-o1",L,298.2
303,"im-2,1 + tca",L,323.2
304,"im-2,1 + tcb",L,283.15
305,"im-2,1 + tetrazolide",L,298.2
306,"im-2,1 + tfa-2[f]",L,293.0
307,"im-2,1 + tfa-3[f]",L,293.15
308,"im-2,1 + tfa",L,298.0
309,"im-2,1 + tfes",L,293.15
310,"im-2,1 + tfesi",L,283.15
311,"im-2,1 + triazolide",L,298.2
312,"im-2,1 + tsac",L,298.2
313,"im-2,1 + wf7",L,298.0
314,"im-2,1 + wof5",L,298.0
315,"im-2,1o2,1 + ntf2",H,278.15
316,"im-2,2,1[5] + ntf2",L,293.0
317,"im-2,2,1 + ntf2",L,298.0
318,"im-2,2,1o2 + ntf2",L,298.2
319,"im-2,2,1o3 + ntf2",L,298.2
320,"im-2,2 + ntf2",L,298.0
